-2408,-69624,-257395,156680,1002780,-595399,-699985,2807050,-2532141,-1663282,7734022,-9027597,126618,15969023,-25592708,13466104,21493164,-56650563,55449655,4326994,-101790463,167197415,-106150071,-182295803,1124816924,1329502388,-22252345,-201278197,181153399,-67919594,-34892941,73404846,-50684362,4920522,25841376,-27529631,10555153,6202079,-11458171,6569872,577493,-3760023,2668784,-47305,-991297,941415,344560,-261972,-99745,-5489,
-2283,-68049,-256454,146394,1003078,-570301,-732841,2802280,-2451236,-1781914,7763281,-8845799,-220910,16201109,-25355894,12688111,22340857,-56712931,54140235,6558385,-103220444,165575081,-100331264,-189905865,1111243263,1339782930,-11122797,-206464061,181109826,-65406296,-37204243,74164995,-50046211,3845444,26494145,-27512528,10157177,6558330,-11556140,6462552,718997,-3820900,2647276,-4206,-1012015,934358,356196,-261473,-101704,-5737,
-2163,-66497,-255450,136211,1003028,-545086,-765003,2796150,-2369670,-1898732,7788216,-8660429,-566177,16423022,-25106547,11907382,23171743,-56743641,52807810,8773775,-104584506,163871970,-94507995,-197308202,1097526034,1349844637,184838,-211583362,180964546,-62840898,-39507825,74887933,-49376876,2762515,27135827,-27480188,9751311,6913196,-11648485,6351037,861155,-3880228,2624252,39311,-1032364,926907,367874,-260879,-103682,-5993,
-2047,-64967,-254384,126133,1002634,-519766,-796461,2788676,-2287490,-2013688,7808844,-8471609,-909008,16634699,-24844876,11124362,23985452,-56742843,51453239,10972031,-105882298,162089566,-88683374,-204502090,1083669695,1359684154,11668184,-216632771,180716899,-60224492,-41802367,75573058,-48676562,1672293,27766006,-27432543,9337732,7266472,-11735118,6235357,1003898,-3937963,2599711,83226,-1052329,919063,379591,-260187,-105679,-6259,
-1937,-63459,-253257,116163,1001898,-494355,-827205,2779871,-2204744,-2126734,7825182,-8279464,-1249233,16836087,-24571095,10339495,24781628,-56710706,50077388,13152036,-107113506,160229384,-82860488,-211486888,1069678739,1369298198,23324789,-221608964,180366274,-57558205,-44086546,76219787,-47945494,575345,28384271,-27369533,8916622,7617955,-11815955,6115547,1147151,-3994061,2573654,127521,-1071897,910823,391341,-259396,-107694,-6533,
-1831,-61975,-252071,106302,1000826,-468865,-857226,2769753,-2121480,-2237825,7837254,-8084120,-1586681,17027135,-24285422,9553222,25559925,-56647411,48681131,15312689,-108277854,158292972,-77042393,-218262041,1055557697,1378683558,35152123,-226508621,179912111,-54843194,-46359037,76827551,-47183914,-527757,28990213,-27291105,8488169,7967442,-11890913,5991641,1290842,-4048480,2546082,172175,-1091056,902189,403122,-258505,-109727,-6817,
-1730,-60513,-250828,96552,999421,-443309,-886516,2758337,-2037746,-2346915,7845081,-7885705,-1921188,17207801,-23988082,8765986,26320008,-56553160,47265349,17452906,-109375104,156281907,-71232120,-224827075,1041311133,1387837095,47147580,-231328433,179353899,-52080653,-48618516,77395802,-46392083,-1636432,29583428,-27197216,8052566,8314729,-11959914,5863680,1434898,-4101178,2516995,217170,-1109793,893159,414928,-257511,-111779,-7110,
-1633,-59073,-249530,86917,997687,-417699,-915065,2745642,-1953589,-2453963,7848690,-7684344,-2252588,17378047,-23679304,7978225,27061555,-56428168,45830928,19571620,-110405057,154197794,-65432672,-231181604,1026943643,1396755747,59308476,-236065096,178691178,-49271808,-50863656,77924012,-45570279,-2750097,30163520,-27087830,7610010,8659611,-12022881,5731703,1579243,-4152114,2486396,262485,-1128094,883733,426757,-256414,-113847,-7413,
-1541,-57656,-248178,77397,995629,-392047,-942867,2731684,-1869056,-2558925,7848107,-7480168,-2580721,17537843,-23359324,7190375,27784257,-56272666,44378760,21667782,-111367550,152042267,-59647018,-237325321,1012459853,1405436527,71632055,-240715320,177923540,-46417918,-53093132,78411671,-44718801,-3868158,30730094,-26962920,7160705,9001884,-12079740,5595756,1723801,-4201246,2454288,308099,-1145947,873912,438602,-255211,-115932,-7725,
-1452,-56262,-246774,67995,993251,-366367,-969913,2716481,-1784196,-2661762,7843364,-7273304,-2905429,17687162,-23028379,6402871,28487815,-56086901,42909742,23740360,-112262458,149816987,-53878101,-243258005,997864421,1413876526,84115485,-245275823,177050632,-43520273,-55305620,78858287,-43837963,-4990019,31282763,-26822469,6704858,9341344,-12130421,5455884,1868498,-4248536,2420676,353993,-1163339,863695,450460,-253901,-118034,-8048,
-1368,-54890,-245319,58712,990557,-340671,-996197,2700052,-1699054,-2762435,7834490,-7063882,-3226556,17825986,-22686716,5616145,29171943,-55871138,41424775,25788342,-113089693,147523639,-48128827,-248979518,983162026,1422072912,96755860,-249743339,176072149,-40580196,-57499797,79263392,-42928098,-6115078,31821144,-26666465,6242682,9677788,-12174855,5312136,2013255,-4293942,2385564,400143,-1180257,853084,462327,-252482,-120152,-8382,
-1287,-53540,-243815,49551,987552,-314970,-1021712,2682417,-1613678,-2860907,7821521,-6852033,-3543951,17954301,-22334581,4830626,29836367,-55625652,39924766,27810735,-113849205,145163935,-42402070,-254489804,968357377,1430022934,109550204,-254114616,174987844,-37599041,-59674344,79626534,-41989557,-7242726,32344862,-26494908,5774395,10011013,-12212978,5164563,2157996,-4337427,2348958,446530,-1196690,842079,474198,-250954,-122285,-8726,
-1210,-52213,-242264,40513,984241,-289276,-1046452,2663593,-1528114,-2957141,7804492,-6637887,-3857463,18072100,-21972229,4046739,30480827,-55350738,38410623,29806565,-114540981,142739610,-36700671,-259788888,953455203,1437723922,122495466,-258386419,173797520,-34578192,-61827945,79947286,-41022710,-8372352,32853545,-26307804,5300218,10340816,-12244728,5013219,2302642,-4378952,2310864,493130,-1212624,830681,486068,-249315,-124433,-9080,
-1137,-50908,-240668,31598,980628,-263602,-1070411,2643603,-1442409,-3051103,7783441,-6421574,-4166947,18179379,-21599915,3264909,31105074,-55046703,36883257,31774877,-115165044,140252421,-31027433,-264876881,938460255,1445173287,135588527,-262555531,172501037,-31519063,-63959287,80225239,-40027942,-9503340,33346831,-26105169,4820378,10666994,-12270046,4858159,2447116,-4418481,2271290,539923,-1228047,818890,497932,-247562,-126596,-9446,
-1067,-49625,-239027,22810,976718,-237959,-1093585,2622465,-1356608,-3142761,7758406,-6203227,-4472259,18276145,-21217902,2485553,31708871,-54713869,35343584,33714737,-115721455,137704148,-25385123,-269753972,923377304,1452368524,148826198,-266618753,171098308,-28423098,-66067062,80460007,-39005658,-10635068,33824361,-25887029,4335106,10989347,-12288877,4699443,2591338,-4455976,2230245,586884,-1242947,806709,509787,-245696,-128773,-9824,
-1000,-48365,-237343,14150,972516,-212359,-1115968,2600201,-1270757,-3232082,7729430,-5982977,-4773259,18362405,-20826454,1709087,32291995,-54352572,33792520,35625233,-116210310,135096590,-19776470,-274420432,908211137,1459307210,162205222,-270572908,169589302,-25291770,-68149969,80651225,-37956278,-11766912,34285785,-25653415,3844639,11307674,-12301168,4537130,2735229,-4491401,2187736,633993,-1257312,794138,521626,-243713,-130963,-10212,
-937,-47126,-235619,5617,968027,-186813,-1137557,2576832,-1184901,-3319037,7696556,-5760954,-5069811,18438176,-20425840,935923,32854234,-53963162,32230981,37505473,-116631741,132431566,-14204164,-278876614,892966558,1465987008,175722272,-274414843,167974043,-22126581,-70206712,80798552,-36880243,-12898244,34730759,-25404371,3349215,11621775,-12306870,4371284,2878709,-4524723,2143775,681225,-1271130,781180,533446,-241614,-133166,-10613,
-877,-45910,-233855,-2785,963256,-161333,-1158346,2552379,-1099086,-3403598,7659829,-5537292,-5361781,18503479,-20016333,166470,33395390,-53546004,30659888,39354587,-116985918,129710915,-8670855,-283122948,877648384,1472405669,189373958,-278141427,166252611,-18929058,-72236002,80901666,-35778007,-14028434,35158947,-25139947,2849079,11931453,-12305937,4201971,3021698,-4555906,2098371,728558,-1284390,767835,545242,-239396,-135381,-11026,
-820,-44715,-232053,-11056,958208,-135929,-1178334,2526865,-1013355,-3485736,7619295,-5312122,-5649038,18558341,-19598207,-598871,33915278,-53101474,29080159,41171725,-117273043,126936492,-3179154,-287159948,862261443,1478561026,203156822,-281749554,164425143,-15700758,-74236558,80960270,-34650044,-15156848,35570021,-24860203,2344479,12236510,-12298326,4029259,3164115,-4584918,2051537,775967,-1297080,754107,557007,-237059,-137608,-11450,
